Var1,Var2,Var3,Var4,Var5,Var6
6.09,406,406,29.1452413957683,44.9378757335222,0
6.09,406,406,29.1627878679212,44.8873351674212,0.00609
6.09,406,406,29.1803343400742,44.8367946013201,0.01218
6.09,406,406,29.1978808122272,44.786254035219,0.01827
6.09,406,406,29.2154272843801,44.7357134691179,0.02436
6.09,406,406,29.2329737565331,44.6851729030168,0.03045
6.09,406,406,29.2505202286861,44.6346323369157,0.03654
6.09,406,406,30.5941970619991,44.2609277177419,0.04263
6.09,406,406,31.9242298789126,43.8911442935733,0.04872
6.09,406,406,33.2315232814497,43.5275005381774,0.05481
6.09,406,406,34.5160772696106,43.1699964515544,0.0609
6.09,406,406,35.7778918433953,42.8186320337042,0.06699
6.09,406,406,37.0169670028036,42.4734072846267,0.07308
6.09,406,406,38.2333027478357,42.1343222043221,0.07917
6.09,406,406,39.4268990784914,41.8013767927903,0.08526
6.09,406,406,40.5977559947709,41.4745710500313,0.09135
6.09,406,406,41.7458734966741,41.1539049760451,0.09744
6.09,406,406,42.8712515842011,40.8393785708318,0.10353
6.09,406,406,43.9738902573517,40.5309918343912,0.10962
6.09,406,406,45.0537895161261,40.2287447667234,0.11571
6.09,406,406,46.1109493605242,39.9326373678285,0.1218
6.09,406,406,47.145369790546,39.6426696377063,0.12789
6.09,406,406,48.1570508061915,39.358841576357,0.13398
6.09,406,406,48.4783914308225,39.2717638060348,0.14007
6.09,406,406,48.4119888125284,39.2953284858818,0.14616
6.09,406,406,48.3455861942343,39.3188931657287,0.15225
6.09,406,406,48.2791835759403,39.3424578455756,0.15834
6.09,406,406,48.2127809576462,39.3660225254226,0.16443
6.09,406,406,48.1463783393521,39.3895872052695,0.17052
6.09,406,406,48.079975721058,39.4131518851164,0.17661
6.09,406,406,48.0135731027639,39.4367165649634,0.1827
6.09,406,406,47.9471704844699,39.4602812448103,0.18879
6.09,406,406,47.8807678661758,39.4838459246573,0.19488
6.09,406,406,47.8143652478817,39.5074106045042,0.20097
6.09,406,406,47.7479626295876,39.5309752843511,0.20706
6.09,406,406,47.6815600112936,39.5545399641981,0.21315
6.09,406,406,47.1139864324412,39.3844073414216,0.21924
6.09,406,406,46.3692403651652,39.1457579108322,0.22533
6.09,406,406,45.6370845078399,38.9119264019596,0.23142
6.09,406,406,44.9175188604652,38.6829128148038,0.23751
6.09,406,406,44.2105434230412,38.4587171493649,0.2436
6.09,406,406,43.516158195568,38.2393394056428,0.24969
6.09,406,406,42.8343631780454,38.0247795836375,0.25578
6.09,406,406,42.1651583704735,37.8150376833491,0.26187
6.09,406,406,41.5085437728522,37.6101137047776,0.26796
6.09,406,406,40.8645193851817,37.4100076479229,0.27405
6.09,406,406,40.2330852074618,37.214719512785,0.28014
6.09,406,406,39.6142412396927,37.024249299364,0.28623
