Var1,Var2,Var3,Var4,Var5,Var6
6.09,406,406,-13.2850170115625,33.0483540523962,0
6.09,406,406,-12.3473565892285,33.1983996268718,0.00609
6.09,406,406,-11.409563121227,33.3484662861204,0.01218
6.09,406,406,-10.4716366075582,33.4985540301418,0.01827
6.09,406,406,-9.53357704822188,33.6486628589362,0.02436
6.09,406,406,-8.59538444321817,33.7987927725034,0.03045
6.09,406,406,-7.65705879254702,33.9489437708435,0.03654
6.09,406,406,-6.71860009620845,34.0991158539566,0.04263
6.09,406,406,-5.78000835420246,34.2493090218425,0.04872
6.09,406,406,-4.84128356652905,34.3995232745014,0.05481
6.09,406,406,-3.90242573318819,34.5497586119332,0.0609
6.09,406,406,-2.96343485417991,34.7000150341378,0.06699
6.09,406,406,-2.0243109295042,34.8502925411154,0.07308
6.09,406,406,-1.08505395916107,35.0005911328659,0.07917
6.09,406,406,-0.145663943150517,35.1509108093892,0.08526
6.09,406,406,0.793859118527465,35.3012515706855,0.09135
6.09,406,406,1.73351522587289,35.4516134167547,0.09744
6.09,406,406,2.67330437888572,35.6019963475968,0.10353
6.09,406,406,3.61322657756598,35.7524003632118,0.10962
6.09,406,406,4.55328182191368,35.9028254635996,0.11571
6.09,406,406,5.4934701119288,36.0532716487604,0.1218
6.09,406,406,6.43379144761135,36.2037389186941,0.12789
6.09,406,406,7.37424582896132,36.3542272734007,0.13398
6.09,406,406,8.31483325597873,36.5047367128802,0.14007
6.09,406,406,9.25555372866357,36.6552672371327,0.14616
6.09,406,406,10.1964072470158,36.805818846158,0.15225
6.09,406,406,11.1373938110355,36.9563915399562,0.15834
6.09,406,406,12.0785134207226,37.1069853185273,0.16443
6.09,406,406,13.0197660760771,37.2576001818713,0.17052
6.09,406,406,13.9611517770991,37.4082361299882,0.17661
6.09,406,406,14.9026705237885,37.5588931628781,0.1827
6.09,406,406,15.8443223161453,37.7095712805408,0.18879
6.09,406,406,16.7861071541696,37.8602704829764,0.19488
6.09,406,406,17.7280250378612,38.010990770185,0.20097
6.09,406,406,18.6700759672204,38.1617321421664,0.20706
6.09,406,406,19.6122599422469,38.3124945989208,0.21315
6.09,406,406,20.5545769629408,38.463278140448,0.21924
6.09,406,406,21.4970270293022,38.6140827667482,0.22533
6.09,406,406,22.439610141331,38.7649084778212,0.23142
6.09,406,406,23.3823262990273,38.9157552736672,0.23751
6.09,406,406,24.3251755023909,39.066623154286,0.2436
6.09,406,406,25.268157751422,39.2175121196778,0.24969
6.09,406,406,26.2112730461205,39.3684221698425,0.25578
6.09,406,406,27.1545213864865,39.51935330478,0.26187
6.09,406,406,28.0979027725198,39.6703055244905,0.26796
6.09,406,406,29.0414172042206,39.8212788289739,0.27405
6.09,406,406,29.9850646815889,39.9722732182302,0.28014
6.09,406,406,30.9288452046245,40.1232886922594,0.28623
6.09,406,406,31.8727587733276,40.2743252510615,0.29232
6.09,406,406,32.8168053876981,40.4253828946365,0.29841
6.09,406,406,33.760985047736,40.5764616229843,0.3045
6.09,406,406,34.7052977534414,40.7275614361051,0.31059
6.09,406,406,35.6497435048141,40.8786823339988,0.31668
6.09,406,406,35.9325714175292,40.9114928984546,0.32277
6.09,406,406,36.2063933974167,40.9426930429607,0.32886
6.09,406,406,37.2554233579806,40.9927645169,0.33495
6.09,406,406,38.1016909761251,41.024082193468,0.34104
6.09,406,406,38.0798099942737,41.0145360537918,0.34713
6.09,406,406,38.0661540444003,41.017423985031,0.35322
6.09,406,406,38.0524980945269,41.0203119162703,0.35931
6.09,406,406,38.0739742570109,41.0211277303722,0.3654
6.09,406,406,38.130239842612,41.0198916393935,0.37149
6.09,406,406,38.1865054282131,41.0186555484147,0.37758
6.09,406,406,38.2396364810555,41.0135094885327,0.38367
6.09,406,406,38.2412076295638,41.0333234857361,0.38976
6.09,406,406,38.2277354963276,41.0541469870098,0.39585
6.09,406,406,38.2142633630914,41.0749704882835,0.40194
6.09,406,406,38.238730109775,41.078553516668,0.40803
6.09,406,406,38.2650589091876,41.0812903769617,0.41412
6.09,406,406,38.2913877086002,41.0840272372554,0.42021
6.09,406,406,38.3177165080128,41.086764097549,0.4263
6.09,406,406,38.3440453074254,41.0895009578427,0.43239
6.09,406,406,38.370374106838,41.0922378181364,0.43848
6.09,406,406,38.3967029062506,41.09497467843,0.44457
6.09,406,406,38.4230317056632,41.0977115387237,0.45066
6.09,406,406,38.7932858074606,41.4239724833637,0.45675
6.09,406,406,39.9409367897963,42.4815160995776,0.46284
6.09,406,406,41.088587772132,43.5390597157916,0.46893
6.09,406,406,41.6950777972006,44.2303140981294,0.47502
6.09,406,406,42.2228547090023,44.8682908639514,0.48111
6.09,406,406,42.750631620804,45.5062676297734,0.4872
6.09,406,406,43.2784085326057,46.1442443955954,0.49329
6.09,406,406,43.8061854444074,46.7822211614174,0.49938
6.09,406,406,44.3339623562091,47.4201979272394,0.50547
6.09,406,406,44.8617392680108,48.0581746930615,0.51156
6.09,406,406,45.3895161798124,48.6961514588835,0.51765
6.09,406,406,45.9172930916141,49.3341282247055,0.52374
6.09,406,406,46.4450700034158,49.9721049905275,0.52983
6.09,406,406,46.9728469152175,50.6100817563496,0.53592
6.09,406,406,47.5006238270192,51.2480585221716,0.54201
6.09,406,406,48.0284007388209,51.8860352879936,0.5481
6.09,406,406,48.5561776506226,52.5240120538156,0.55419
6.09,406,406,49.0839545624243,53.1619888196377,0.56028
6.09,406,406,49.6117314742259,53.7999655854597,0.56637
6.09,406,406,50.1206610595678,54.4060806409639,0.57246
6.09,406,406,50.5530583525837,54.8828166180487,0.57855
6.09,406,406,50.9854556455995,55.3595525951334,0.58464
6.09,406,406,51.4178529386154,55.8362885722181,0.59073
6.09,406,406,51.8502502316313,56.3130245493029,0.59682
6.09,406,406,52.2826475246471,56.7897605263876,0.60291
6.09,406,406,52.715044817663,57.2664965034723,0.609
6.09,406,406,53.1474421106789,57.7432324805571,0.61509
6.09,406,406,53.5798394036947,58.2199684576418,0.62118
6.09,406,406,54.0122366967106,58.6967044347265,0.62727
6.09,406,406,54.4446339897265,59.1734404118112,0.63336
6.09,406,406,54.8770312827423,59.650176388896,0.639450000000001
6.09,406,406,55.3094285757582,60.1269123659807,0.645540000000001
6.09,406,406,55.7418258687741,60.6036483430654,0.651630000000001
6.09,406,406,56.1742231617899,61.0803843201502,0.657720000000001
6.09,406,406,56.6066204548058,61.5571202972349,0.663810000000001
6.09,406,406,57.0390177478217,62.0338562743196,0.669900000000001
6.09,406,406,57.4714150408375,62.5105922514044,0.675990000000001
6.09,406,406,57.9038123338534,62.9873282284891,0.682080000000001
6.09,406,406,58.1919910283629,63.3101296395478,0.688170000000001
6.09,406,406,58.2943754447802,63.434619862837,0.694260000000001
6.09,406,406,58.3967598611975,63.5591100861263,0.700350000000001
6.09,406,406,58.4991442776148,63.6836003094155,0.706440000000001
6.09,406,406,58.6015286940322,63.8080905327048,0.712530000000001
6.09,406,406,58.7039131104495,63.932580755994,0.718620000000001
6.09,406,406,58.8062975268668,64.0570709792833,0.724710000000001
6.09,406,406,58.9086819432841,64.1815612025725,0.730800000000001
6.09,406,406,59.0110663597014,64.3060514258618,0.736890000000001
6.09,406,406,59.1004619897229,64.4626808143374,0.742980000000001
6.09,406,406,59.189233341865,64.6208549021616,0.749070000000001
6.09,406,406,59.2780046940072,64.7790289899857,0.755160000000001
6.09,406,406,59.3102386141776,64.8178278237407,0.761250000000001
6.09,406,406,59.6267316295558,65.154835384544,0.767340000000001
6.09,406,406,60.0317264313718,65.6102341075405,0.773430000000001
6.09,406,406,60.4367212331877,66.0656328305371,0.779520000000001
6.09,406,406,60.8417160350036,66.5210315535336,0.785610000000001
6.09,406,406,61.2467108368195,66.9764302765302,0.791700000000002
6.09,406,406,61.6517056386355,67.4318289995268,0.797790000000002
6.09,406,406,62.0567004404514,67.8872277225233,0.803880000000002
6.09,406,406,62.4616952422673,68.3426264455199,0.809970000000002
6.09,406,406,62.8666900440832,68.7980251685164,0.816060000000002
6.09,406,406,63.2716848458991,69.253423891513,0.822150000000002
6.09,406,406,63.6099985435941,69.6176324042236,0.828240000000002
6.09,406,406,63.9473226631545,69.9804876124354,0.834330000000002
6.09,406,406,64.2846467827148,70.3433428206471,0.840420000000002
6.09,406,406,64.6219709022752,70.7061980288589,0.846510000000002
6.09,406,406,64.9592950218355,71.0690532370707,0.852600000000002
6.09,406,406,65.2966191413959,71.4319084452825,0.858690000000002
6.09,406,406,65.6870844023878,71.8651571355851,0.864780000000002
6.09,406,406,66.1330263675694,72.3718931142227,0.870870000000002
6.09,406,406,66.578968332751,72.8786290928604,0.876960000000002
6.09,406,406,67.0249102979326,73.3853650714979,0.883050000000002
6.09,406,406,67.4708522631143,73.8921010501355,0.889140000000002
6.09,406,406,67.9167942282958,74.3988370287731,0.895230000000002
6.09,406,406,68.3627361934774,74.9055730074107,0.901320000000002
6.09,406,406,68.8015822052295,75.3992781819047,0.907410000000002
6.09,406,406,69.2272803139391,75.8688389265986,0.913500000000002
6.09,406,406,69.6529784226487,76.3383996712926,0.919590000000002
6.09,406,406,70.0786765313583,76.8079604159866,0.925680000000002
6.09,406,406,70.5043746400679,77.2775211606805,0.931770000000002
6.09,406,406,70.7886886880544,77.6160641158921,0.937860000000002
6.09,406,406,71.1593087375748,78.0464102944189,0.943950000000003
