time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0.061,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,576.61926626531,607.4356556464,564.826912369387,786.95398540702,749.601956186901,728.012338804991,192.241647362945,196.22265625,645.285252151777,1.1833506598409,0.668599537330033,0.791187703668817
0.062,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,582.590347127004,625.225808506874,584.174739740203,784.831103583727,747.053995957486,726.067264624994,186.654537982396,196.22265625,647.788030052108,1.18518489905755,0.670419913886158,0.794571557965338
0.063,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,580.531267885999,618.526037212497,577.541730716202,780.485720696032,746.416814644272,725.008246774945,189.611100336283,197.19921875,646.352875897872,1.18637722715103,0.668266813670641,0.792816529399627
0.064,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,581.648897953344,619.47545528631,578.649954552727,786.084582037913,743.891858335654,722.92950732698,194.301706850382,198.41992187,642.767101073374,1.18743729148019,0.663922708770748,0.788366583054929
0.065,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,589.656601023689,622.902856209709,581.658267320398,786.710926620152,749.812494076925,727.966829476436,189.090107059638,197.19921875,646.538315869192,1.18208361682558,0.670613050119092,0.79272069977521
0.066,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,584.320974448761,614.772760930563,572.19019450801,786.406169385437,750.344374744257,729.373112241969,190.808939974869,199.640625,646.045065042233,1.18239001894949,0.669902888216197,0.792086488692264
0.067,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,583.977581916993,619.189636376815,576.145826145832,780.673297893544,746.541449179464,725.234001369707,188.778398464596,200.12890625,646.894314495764,1.18638953398122,0.6688410547218,0.793506027218902
0.068,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,583.879413959093,620.96796798356,581.383203825035,784.854640578364,738.377314678914,717.888613041806,192.837183279449,199.88476562,643.29845813141,1.19361700438478,0.661471907594084,0.78954411682714
0.069,0,81,0.00348687,0,55008,74,20.00318336,0,6011423,582.469353735811,619.576186336121,578.28539182377,790.900731234211,750.695291339396,729.368943854803,191.068201900652,201.10546875,645.527165325499,1.1811889559447,0.669957752671346,0.791346698404925
0.07,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,6000962,588.279831735726,624.653098759711,582.799231686786,790.510817282046,750.743519892314,730.345273787565,195.742021118416,202.08203125,641.767529702773,1.1786559243465,0.667183243921848,0.7863794830732
