time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0,0,81,81.1221792539474,80.22599792,0.00348687,0,7189945,74,74.0291306691372,73.67399597,20.00318336,0,1222898,684.308102781619,601.979838794424,560.206583864424,769.166932749389,741.31559584393,720.821865570182,351.602997181396,348.57226562
0.001,0,81,80.9764388136535,80.22599792,0.00348687,0,7189945,74,74.0635340022097,73.67399597,20.00318336,0,1222898,686.33932898569,610.694387477962,568.072506414831,769.110057964945,751.336233552705,730.273612150866,352.046717143304,347.83984375
0.002,0,81,80.9684529886439,80.22599792,0.00348687,0,7189945,74,73.8254915172003,73.67399597,20.00318336,0,1222898,681.151212900927,603.046890553707,560.984550828537,770.112889318373,739.87075641716,719.079550801045,350.840555729124,348.328125
0.003,0,81,80.8225213038623,80.22599792,0.00348687,0,7189945,74,74.0368074710785,73.67399597,20.00318336,0,5999303,678.71663378884,603.777385735389,562.809658522508,772.106563435911,743.462200078651,722.81198915193,351.18680262213,348.81640625
0.004,0,81,80.9291253282394,80.22599792,0.00348687,0,7189945,74,73.888284912295,73.67399597,20.00318336,0,5999303,678.739013503589,599.829212747229,559.338172677842,770.057470918996,750.439638154012,729.391359669742,351.606820912888,349.3046875
0.005,0,81,81.0104785557034,80.22599792,0.00348687,0,7189945,74,74.0200418312195,73.67399597,20.00318336,0,5999303,683.397351733131,605.114629934741,564.044012840256,771.988425410656,745.16223589891,724.828379713525,353.400505061042,349.54882812
0.006,0,81,81.0097956746985,80.22599792,0.00348687,0,7189945,74,74.1554626578905,73.67399597,20.00318336,0,5999303,683.717611304598,610.252443381523,567.320083331753,769.275274124869,748.899421326291,727.97993621554,351.942118852291,349.54882812
0.007,0,81,80.9358942865705,80.22599792,0.00348687,0,7189945,74,74.0054930268399,73.67399597,20.00318336,0,5999303,682.812659534433,600.331472881327,558.472009649789,768.072612155128,740.714391982578,720.089879960368,352.439455333887,350.03710937
