time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0.018,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,686.071854103747,602.812136029287,563.23140117135,766.779529919188,745.995043828288,724.504043904154,353.037971739617,351.50195312,516.183503396585,1.09935784198104,0.561397671848437,0.617176933016477
0.019,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,685.377691352151,606.02173066805,564.526600663629,766.130359048939,747.927266039466,726.145243890968,350.687982039384,350.28125,519.498250442204,1.10115501738545,0.564448272038271,0.621545046809487
0.02,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,690.062221177819,609.467007652303,567.601742493757,769.647048727596,747.168902172537,726.40688984678,350.595078379085,349.79296875,520.340173739541,1.10491663320381,0.563975288473058,0.623145676949799
0.021,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,685.420748420659,601.716100095933,559.141654164142,766.913869145674,742.615206844877,720.993812872729,352.495827704358,349.54882812,515.731160699681,1.10359971385517,0.559366965686508,0.617317223271663
0.022,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,685.766297320167,611.854539450122,571.624585346629,764.811283918843,738.962294806187,717.768810150068,355.094792413598,348.81640625,515.54021189242,1.11508496749988,0.554866782377281,0.618723607993933
0.023,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,688.969216365011,609.758084542554,568.128154101751,772.139178352385,739.543835315208,718.751104791837,351.296350673455,348.57226562,518.421468622791,1.1154071409592,0.558023357729272,0.622423238033261
0.024,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,684.769941145125,600.48683831916,559.94911443511,772.045267417585,743.580934242411,723.296177641871,353.024739124953,348.57226562,515.075171097182,1.10072588544023,0.559680039173785,0.616054306682789
0.025,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,688.448316662343,614.467937393846,573.103712665059,768.866398089484,734.565441760793,713.521063960825,352.517407488332,348.81640625,517.601694340978,1.12520469659269,0.553550232333085,0.622857321221164
0.026,0,81,0.00348687,0,7189945,74,20.00318336,0,6001780,687.664833614934,604.236377238039,562.263975825513,775.083790644328,746.915053311612,725.797921152291,350.220154686887,348.328125,519.234706439293,1.10149180562804,0.564061373330203,0.621308980594518
0.027,0,81,0.00348687,0,7189945,74,-24.99681282,-44999.9921875,6004067,684.845284953352,605.428726537042,564.635272845021,773.16988090288,740.668396359508,719.545560726443,351.264742904833,348.81640625,517.512572128873,1.11044392091989,0.558853613722339,0.620575598042083
0.028,0,81,0.00348687,0,7189945,74,-24.99681282,0,6004067,687.440630929596,608.184210261969,567.077078820877,773.440192431918,743.421762925297,721.996238563619,353.699199326787,349.06054687,516.631314879265,1.10688512525962,0.559082409227487,0.618840002568217
0.029,0,81,0.00348687,0,7189945,74,-24.99681282,0,6004067,685.237628990201,606.227567206985,566.495222593531,769.126856490753,741.609870554496,720.881655965915,353.840649281551,349.54882812,515.644496209863,1.10778685121667,0.557679550773693,0.617790073539516
0.03,0,81,0.00348687,0,7189945,74,-24.99681282,0,2849355,688.955526120832,606.018964096813,566.839277025304,769.612701427884,736.368574015585,714.819952613583,355.862774177171,351.01367187,512.830650332923,1.11364539112658,0.552431829089618,0.615213160377278
0.031,0,81,0.00348687,0,7189945,74,-24.99681282,0,941603,689.934689282129,598.578171424956,557.288991127291,770.376991651728,742.112553645946,721.059216663052,359.812919552006,351.99023437,508.051797892183,1.0953403695661,0.55373247409972,0.606525532821139
0.032,0,81,0.00348687,0,7189945,74,20.00318336,44999.9921875,990418,691.732765288359,602.735999712151,562.131075605644,769.279300949584,747.792770556992,726.233217951898,353.216795977886,352.234375,516.290196202569,1.09664227236191,0.56255290483687,0.6169192958841
0.033,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,689.243421458698,605.514872591137,563.568343580375,767.437429988873,747.791353664705,726.286341074733,356.717676746664,351.99023437,514.001826363463,1.09619235682218,0.560050700764198,0.613923297610619
0.034,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,688.226857506658,599.237583813665,558.793073202741,761.572544442332,751.054527925828,729.537522642893,358.849989912855,353.94335937,510.624575057642,1.08422915909498,0.560859860767197,0.608100615209745
0.035,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,688.898189688556,610.198628551002,569.664889002039,778.682576289014,743.198695445329,722.38998224024,356.427675509783,354.67578125,514.742168173162,1.10673058789789,0.556961294713202,0.616406101134311
0.036,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,685.970243794874,598.569395195225,558.013376544676,766.711131279883,748.014545803309,727.670270913698,359.295882582542,355.1640625,509.493333588347,1.08742587570159,0.558361864659418,0.607177139635642
0.037,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,687.950299835432,603.574339966989,561.188321890145,770.27706122074,743.519082423305,722.574835038936,357.430709110344,354.67578125,512.076990206667,1.09997603090721,0.556469562343161,0.6121031805069
0.038,0,81,0.00348687,0,7189945,74,20.00318336,0,1228377,687.944749334278,605.288035530573,563.290109821069,766.06529468401,742.210182316717,720.968092909138,355.074382279292,353.45507812,514.409044858183,1.10519541749266,0.557223879686944,0.615841278347492
0.039,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,690.080720112846,597.837905187987,558.26169108881,768.234613118555,746.851008376455,725.21779155628,354.947859207087,353.94335937,513.019383389745,1.0921090863894,0.560644323496486,0.612284759923149
0.04,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,685.959076370844,600.648075397083,560.024908372607,771.387066507848,743.047054279893,721.199881611499,354.792313895335,353.2109375,513.455379652068,1.10017970606354,0.558028572000074,0.6139317103181
0.041,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,688.793970127391,608.740345061816,567.917696217949,766.83660531378,739.066928065353,718.017438279422,354.074332888806,353.69921875,515.647588791399,1.1132827404182,0.555679328175968,0.618628205265488
0.042,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,688.370054487529,612.446622799458,570.766074233128,773.073584586491,748.87965041202,727.879747325968,352.435024043158,353.45507812,519.806627389918,1.10334735356415,0.563883413914158,0.622159272460906
0.043,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,690.039479826486,607.581331866682,566.57795867686,772.075448063208,739.068019370485,717.877681037001,352.931899621011,351.99023437,516.34033182228,1.11321240186677,0.556503969773008,0.619507120839401
0.044,0,81,0.00348687,0,7189945,74,20.00318336,0,5998778,687.323369675139,610.536688700519,567.543467821853,774.930447541947,740.239809322308,718.670459321572,354.859361896,351.99023437,515.646890232464,1.11240618756173,0.555959161122134,0.618452410863893
0.045,0,81,0.00348687,0,7189945,74,-24.99681282,-44999.9921875,5999527,687.061764243343,602.593174726401,559.95133039767,768.102847354197,739.456179088312,718.527974876492,353.612440350579,352.47851562,514.416746292619,1.10797835596454,0.556293238377835,0.616360867692063
0.046,0,81,0.00348687,0,7189945,74,-24.99681282,0,5999527,689.540388224643,612.794766338631,571.357761747739,769.502822770125,738.514654540635,717.40281208623,355.13673513418,351.50195312,515.655112032842,1.1164060759735,0.55451283211295,0.619061494976173
0.047,0,81,0.00348687,0,7189945,74,-24.99681282,0,5999527,692.453431032149,606.873037015047,565.86153200982,762.683794975313,743.918330602491,722.448940372969,351.453415902173,350.76953125,518.33105556803,1.10684660485209,0.561046001656843,0.620991862099715
0.048,0,81,0.00348687,0,7189945,74,-24.99681282,0,2836645,686.962166249102,610.690193380869,569.008294518199,772.854182893957,739.792331589813,717.911841676671,354.923140834324,350.03710937,515.547843593536,1.11312360936149,0.555590263110044,0.618440638999153
0.049,0,81,0.00348687,0,7189945,74,-24.99681282,0,956428,688.292443358739,617.687775706389,576.17160572797,767.591505709385,743.9903811777,722.987589271749,357.719391479516,349.54882812,515.609239691373,1.11014589119447,0.556601149375343,0.617908479013153
0.05,0,81,0.00348687,0,7189945,74,20.00318336,44999.9921875,980282,687.76119329498,608.005681922527,566.026461595034,769.139382722714,744.935908073282,723.798230116671,355.58148554136,349.79296875,515.220838588503,1.10316197194302,0.558818285665594,0.616467081972673
