Var1,Var2,Var3,Var4,Var5,Var6
6.09,406,406,36.2482659625402,39.9361182109941,0
6.09,406,406,36.2878774976387,40.0090374397521,0.00609
6.09,406,406,36.327458178244,40.0819446593815,0.01218
6.09,406,406,36.367008004356,40.1548398698824,0.01827
6.09,406,406,36.4065269759748,40.2277230712547,0.02436
6.09,406,406,36.4460150931004,40.3005942634984,0.03045
6.09,406,406,36.4854723557328,40.3734534466136,0.03654
6.09,406,406,36.524898763872,40.4463006206002,0.04263
6.09,406,406,36.5642943175179,40.5191357854583,0.04872
6.09,406,406,36.6036590166707,40.5919589411878,0.05481
6.09,406,406,36.6429928613302,40.6647700877887,0.0609
6.09,406,406,36.6822958514965,40.737569225261,0.06699
6.09,406,406,36.7215679871695,40.8103563536048,0.07308
6.09,406,406,36.7608092683494,40.88313147282,0.07917
6.09,406,406,36.800019695036,40.9558945829067,0.08526
6.09,406,406,36.8391992672294,41.0286456838648,0.09135
6.09,406,406,36.8783479849296,41.1013847756943,0.09744
6.09,406,406,36.9174658481366,41.1741118583953,0.10353
6.09,406,406,36.9565528568503,41.2468269319677,0.10962
6.09,406,406,36.9956090110709,41.3195299964116,0.11571
6.09,406,406,37.0346343107982,41.3922210517268,0.1218
6.09,406,406,37.0736287560323,41.4649000979136,0.12789
6.09,406,406,37.1125923467732,41.5375671349717,0.13398
6.09,406,406,37.1515250830208,41.6102221629013,0.14007
6.09,406,406,37.1904269647753,41.6828651817024,0.14616
6.09,406,406,37.2292979920365,41.7554961913748,0.15225
6.09,406,406,37.2681381648045,41.8281151919187,0.15834
6.09,406,406,37.3069474830793,41.9007221833341,0.16443
6.09,406,406,37.3457259468608,41.9733171656208,0.17052
6.09,406,406,37.3844735561492,42.045900138779,0.17661
6.09,406,406,37.4231903109443,42.1184711028087,0.1827
6.09,406,406,37.4618762112462,42.1910300577098,0.18879
6.09,406,406,37.5005312570549,42.2635770034823,0.19488
6.09,406,406,37.5391554483704,42.3361119401263,0.20097
6.09,406,406,37.5777487851926,42.4086348676417,0.20706
6.09,406,406,37.6163112675216,42.4811457860285,0.21315
6.09,406,406,37.6548428953574,42.5536446952867,0.21924
6.09,406,406,37.6933436687,42.6261315954165,0.22533
6.09,406,406,37.7318135875494,42.6986064864176,0.23142
6.09,406,406,37.7702526519055,42.7710693682902,0.23751
6.09,406,406,37.8086608617685,42.8435202410342,0.2436
6.09,406,406,37.8470382171382,42.9159591046496,0.24969
6.09,406,406,37.8853847180147,42.9883859591365,0.25578
6.09,406,406,37.9237003643979,43.0608008044948,0.26187
6.09,406,406,37.961985156288,43.1332036407246,0.26796
6.09,406,406,38.0002390936848,43.2055944678258,0.27405
6.09,406,406,38.0384621765884,43.2779732857984,0.28014
6.09,406,406,38.0766544049988,43.3503400946425,0.28623
6.09,406,406,38.114815778916,43.422694894358,0.29232
6.09,406,406,38.15294629834,43.4950376849449,0.29841
6.09,406,406,38.1910459632707,43.5673684664033,0.3045
6.09,406,406,38.2291147737082,43.6396872387331,0.31059
6.09,406,406,38.2671527296525,43.7119940019344,0.31668
6.09,406,406,38.3051598311036,43.7842887560071,0.32277
6.09,406,406,38.3431360780615,43.8565715009512,0.32886
6.09,406,406,38.3810814705261,43.9288422367667,0.33495
6.09,406,406,38.4189960084975,44.0011009634537,0.34104
6.09,406,406,38.4568796919757,44.0733476810122,0.34713
6.09,406,406,38.4947325209607,44.145582389442,0.35322
6.09,406,406,38.5325544954525,44.2178050887434,0.35931
6.09,406,406,38.570345615451,44.2900157789161,0.3654
6.09,406,406,38.6081058809564,44.3622144599603,0.37149
6.09,406,406,38.6458352919685,44.4344011318759,0.37758
6.09,406,406,38.6835338484874,44.506575794663,0.38367
